Turbidez_E;Dosis;pH_
1.20;0.44;6.56
1.09;0.44;6.61
1.06;0.44;6.63
0.99;0.44;6.61
1.18;0.44;6.74
1.02;0.44;6.76
0.84;0.44;6.72
0.89;0.44;6.8
0.40;0.44;6.86
0.46;0.44;6.81
0.55;0.44;7.51
0.54;0.44;7.71
0.61;0.44;7.4
0.63;0.44;7.23
0.52;0.44;6.85
0.47;0.44;6.67
0.57;0.44;6.78
0.42;0.44;6.62
0.66;0.44;6.78
0.45;0.44;6.62
0.27;0.44;6.8
0.58;0.44;6.79
0.58;0.44;6.72
0.60;0.44;6.78
0.76;0.44;6.74
0.58;0.44;6.7
0.52;0.44;6.59
0.66;0.44;6.71
0.61;0.44;6.59
0.58;0.44;6.74
0.51;0.44;6.82
0.63;0.44;6.85
0.68;0.44;6.75
0.72;0.44;6.78
0.51;0.44;6.68
0.57;0.44;6.84
0.83;0.44;6.85
0.71;0.44;6.69
0.76;0.44;6.72
0.47;0.44;6.78
0.42;0.44;6.83
7.21;5.00;6.87
6.34;1.76;6.85
4.21;2.66;6.7
1.21;2.66;6.69
2.78;2.66;6.77
3.07;1.77;6.76
11.38;1.77;6.63
6.30;1.77;6.57
5.06;1.77;6.6
6.59;1.77;6.61
10.25;1.77;6.75
4.27;2.22;6.69
7.21;2.22;6.58
3.36;2.22;6.71
6.70;2.22;8.05
3.55;2.22;7.53
3.49;2.22;7.78
2.28;2.22;6.99
2.20;2.22;6.95
2.45;2.22;6.9
2.69;2.22;6.66
4.18;2.22;6.73
2.16;2.22;6.55
3.27;2.22;6.95
2.90;2.22;6.87
3.10;2.22;6.75
1.76;2.22;6.83
2.29;1.11;6.69
2.07;1.11;6.81
1.51;1.11;6.78
1.45;1.11;6.67
1.50;1.11;6.8
1.84;1.11;6.6
0.95;1.11;6.67
1.42;1.11;6.75
1.30;1.11;6.65
1.30;1.11;6.87
0.81;1.11;6.63
0.95;1.11;6.75
0.78;1.11;6.6
0.76;1.11;6.79
0.88;1.11;6.74
0.97;1.11;6.61
0.69;1.11;6.63
0.78;1.11;6.68
0.83;1.11;6.7
0.77;1.11;6.85
0.78;1.11;6.51
0.55;1.11;6.55
3.36;1.11;6.74
6.73;1.11;7.33
16.78;2.81;6.78
8.25;2.81;6.58
5.58;2.81;6.67
6.49;2.81;6.59
2.73;2.81;6.75
2.84;2.81;6.68
6.23;1.11;6.69
2.64;1.11;7.2
2.91;1.11;7
2.32;1.11;6.84
5.27;1.11;6.88
3.65;1.11;6.76
1.53;1.11;7.25
2.35;1.11;6.52
3.17;1.11;7.24
4.35;1.11;7.16
3.76;1.11;7.21
6.17;1.11;7.55
3.11;1.11;7.29
1.78;1.11;6.53
1.28;1.11;6.58
1.07;1.11;6.5
5.07;1.11;6.73
3.13;1.11;6.75
6.21;1.11;6.67
4.18;1.11;6.75
4.21;1.11;6.72
11.69;1.86;6.65
7.22;1.86;6.51
7.23;1.86;6.87
5.07;1.86;6.75
58.62;1.82;6.54
45.61;2.07;6.63
38.01;2.22;6.53
28.47;3.51;6.74
19.79;3.51;6.76
17.26;3.25;6.71
17.91;2.33;6.9
19.47;2.33;6.78
11.37;2.33;6.6
10.36;2.33;6.81
7.25;2.33;6.75
6.84;2.33;7.66
9.54;1.98;6.51
5.49;1.98;6.5
4.25;1.98;6.75
6.62;1.98;6.65
5.36;1.98;6.73
6.71;0.44;6.94
4.27;0.50;6.51
3.60;0.50;6.87
2.72;0.60;7.4
2.13;0.60;7.05
2.83;0.60;7.01
2.77;0.60;6.84
2.16;0.60;6.77
2.08;0.60;6.95
1.07;0.60;6.83
1.76;0.60;7.12
2.31;0.60;6.68
2.48;0.60;6.78
1.49;0.60;6.73
1.47;0.60;6.74
1.86;0.50;6.86
1.96;0.60;6.7
3.60;0.60;6.5
1.15;0.60;6.55
1.02;0.60;6.74
1.16;0.60;6.64
1.68;0.60;6.5
0.37;0.60;6.73
2.23;0.60;6.51
1.51;0.60;6.76
1.02;0.60;7.19
0.14;0.60;6.77
0.63;0.60;7.1
0.00;0.60;7.05
0.34;0.60;6.75
0.09;0.60;6.74
0.00;0.60;6.9
0.00;0.60;7.56
2.81;0.60;7.43
0.79;0.60;7.15
1.85;0.60;6.76
0.00;0.60;6.85
0.12;0.60;8.1
0.17;0.60;7.14
0.00;0.60;6.7
0.01;0.60;7.43
0.00;0.60;6.67
0.00;0.60;6.91
0.23;0.60;7.26
0.70;0.60;7.85
3.04;0.60;6.98
0.78;0.60;7.05
0.65;0.60;7.23
0.63;0.60;7.43
0.18;0.60;6.69
0.75;0.60;7.04
1.24;0.60;6.92
0.00;0.60;6.8
1.76;0.60;6.9
0.88;0.60;6.79
2.12;0.60;6.9
2.29;0.60;6.78
1.95;0.60;6.52
2.66;0.60;6.92
2.56;0.60;6.8
0.63;0.60;6.65
1.51;0.60;6.65
1.83;0.60;6.78
1.46;0.60;6.68
1.28;0.60;6.75
